sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
RE062,PH,edulis,Phippsburg The Basin,0.999987,0.000013,43.2,22.2,18.8,E
RE063,PH,edulis,Phippsburg The Basin,0.999987,0.000013,46.5,22.7,15.5,E
RE064,PH,edulis,Phippsburg The Basin,0.999987,0.000013,44.5,22.1,0,T
RE065,PH,edulis,Phippsburg The Basin,0.999971,0.000029,48.7,25.1,10.6,E
RE067,PH,edulis,Phippsburg The Basin,0.999978,0.000022,37,18.7,0,T
RE070,PH,edulis,Phippsburg The Basin,0.999986,0.000014,55.9,25.4,25.4,E
RE071,PH,edulis,Phippsburg The Basin,0.999986,0.000014,32.9,15.4,15.4,E
RE072,PH,edulis,Phippsburg The Basin,0.999986,0.000014,45.9,24.1,15.7,E
RE073,PH,edulis,Phippsburg The Basin,0.999986,0.000014,34.7,19.3,13.9,E
RE074,PH,edulis,Phippsburg The Basin,0.999984,0.000016,43,21.6,20.1,E
RE075,PH,edulis,Phippsburg The Basin,0.999987,0.000013,42.2,21.4,18.3,E
RE076,PH,edulis,Phippsburg The Basin,0.999987,0.000013,44.4,23.8,0,T
RE077,PH,edulis,Phippsburg The Basin,0.999957,0.000043,52.1,25.2,21.2,E
RE078,PH,edulis,Phippsburg The Basin,0.999958,0.000042,47.5,21.2,0,T
RE079,PH,edulis,Phippsburg The Basin,0.999979,0.000021,38.9,19.9,19.9,E
RE080,PH,edulis,Phippsburg The Basin,0.999979,0.000021,42.3,21.4,21.4,E
RE081,PH,edulis,Phippsburg The Basin,0.999987,0.000013,42.2,22.7,19.9,E
RE082,PH,edulis,Phippsburg The Basin,0.999984,0.000016,42.3,23.2,8.5,E
RE083,PH,edulis,Phippsburg The Basin,0.999973,0.000027,47.6,25.6,15.4,E
RE084,PH,edulis,Phippsburg The Basin,0.999981,0.000019,52.4,23.9,20.7,E
RE085,PH,edulis,Phippsburg The Basin,0.999982,0.000018,40.3,22.7,11.6,E
RE086,PH,edulis,Phippsburg The Basin,0.99998,0.00002,50.6,29.3,26.2,E
RE087,PH,edulis,Phippsburg The Basin,0.999987,0.000013,50.2,28.5,23.4,E
RE088,PH,edulis,Phippsburg The Basin,0.999986,0.000014,48.1,27.7,16.9,E
RE089,PH,edulis,Phippsburg The Basin,0.999986,0.000014,41.5,20.1,20.1,E
RE090,PH,edulis,Phippsburg The Basin,0.999969,0.000031,49.7,28.7,19.6,E
REBL214,CBE,trossulus,Cobscook Bay Eastport,3.20E-05,0.999968,47.1,23.6,0,T
REBL215,CBE,edulis,Cobscook Bay Eastport,0.997703,0.002297,51.9,27.3,0,T
REBL216,CBE,trossulus,Cobscook Bay Eastport,1.90E-05,0.999981,43.2,20.1,14,E
REBL217,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,42.4,20.8,13.8,E
REBL218,CBE,trossulus,Cobscook Bay Eastport,2.50E-05,0.999975,45,22.3,0,T
REBL219,CBE,trossulus,Cobscook Bay Eastport,2.10E-05,0.999979,54.3,27.2,0,T
REBL221,CBE,trossulus,Cobscook Bay Eastport,2.00E-05,0.99998,48.5,26.5,19,E
REBL222,CBE,trossulus,Cobscook Bay Eastport,1.90E-05,0.999981,53.8,25.4,0,T
REBL223,CBE,trossulus,Cobscook Bay Eastport,2.70E-05,0.999973,44.6,22.2,0,T
REBL224,CBE,trossulus,Cobscook Bay Eastport,1.60E-05,0.999984,44.2,22.8,0,T
REBL225,CBE,trossulus,Cobscook Bay Eastport,2.10E-05,0.999979,62.1,28.6,0,T
REBL226,CBE,trossulus,Cobscook Bay Eastport,8.50E-05,0.999915,47.6,21.4,0,T
REBL227,CBE,trossulus,Cobscook Bay Eastport,2.10E-05,0.999979,53.7,29.1,29.1,E
REBL229,CBE,trossulus,Cobscook Bay Eastport,1.60E-05,0.999984,42.3,20.4,0,T
REBL230,CBE,trossulus,Cobscook Bay Eastport,2.30E-05,0.999977,35.5,16.3,10.3,E
REBL231,CBE,trossulus,Cobscook Bay Eastport,5.00E-05,0.99995,51.2,24.9,0,T
REBL232,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,58.4,30.4,0,T
REBL233,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,46.3,24.7,20.2,E
REBL234,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,39.6,19.4,0,T
REBL235,CBE,trossulus,Cobscook Bay Eastport,1.80E-05,0.999982,43.9,22.7,0,T
